Player,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage
Georginio Wijnaldum,9,773,4,1,3.05,7.305,1.000,0.954,0.222,0.071,0.156
Hans Hateboer,4,353,0,1,0.2,6.51,0.444,0.436,0.000,0.071,0.031
Jasper Cillessen,4,360,0,0,0,6.64,0.444,0.444,0.000,0.000,0.000
Joël Veltman,2,193,0,0,0,6.68,0.222,0.238,0.000,0.000,0.000
Kenny Tete,1,69,0,0,1,6.13,0.111,0.085,0.000,0.000,0.000
Luuk de Jong,5,474,3,0,2.65,7.19,0.556,0.585,0.167,0.000,0.094
Marten de Roon,4,332,0,0,0.5,6.54,0.444,0.410,0.000,0.000,0.000
Matthijs de Ligt,3,270,0,0,1.7,7.61,0.333,0.333,0.000,0.000,0.000
Memphis Depay,8,708,4,3,6.15,8.26,0.889,0.874,0.222,0.214,0.219
Nathan Aké,3,265,0,0,0.5,6.7,0.333,0.327,0.000,0.000,0.000
Owen Wijndal,4,361,0,2,0.75,7.085,0.444,0.446,0.000,0.143,0.063
Patrick van Aanholt,1,89,0,0,1,6.16,0.111,0.110,0.000,0.000,0.000
Quincy Promes,3,277,0,0,1.5,6.59,0.333,0.342,0.000,0.000,0.000
Ryan Babel,0,25,0,0,0.5,6.06,0.000,0.031,0.000,0.000,0.000
Ryan Gravenberch,0,64,0,0,0,6.49,0.000,0.079,0.000,0.000,0.000
Stefan de Vrij,4,360,0,0,0.8,6.9,0.444,0.444,0.000,0.000,0.000
Steven Berghuis,4,385,2,3,3,7.96,0.444,0.475,0.111,0.214,0.156
Steven Bergwijn,1,108,1,0,0.75,6.385,0.111,0.133,0.056,0.000,0.031
Tim Krul,5,450,0,0,0,6.225,0.556,0.556,0.000,0.000,0.000
Virgil van Dijk,4,360,0,0,0.5,6.82,0.444,0.444,0.000,0.000,0.000
Andreas Christensen,8,676,0,0,0.25,7.005,0.889,0.883,0.000,0.000,0.000
Andreas Cornelius,0,7,0,0,0,6.1,0.000,0.009,0.000,0.000,0.000
Andreas Skov Olsen,1,118,2,2,0.65,6.81,0.111,0.154,0.100,0.182,0.129
Christian Eriksen,8,733,4,0,2.05,7.055,0.889,0.957,0.200,0.000,0.129
Christian Nørgaard,2,153,0,0,0.15,6.68,0.222,0.200,0.000,0.000,0.000
Daniel Wass,8,700,0,0,0.9,7.26,0.889,0.914,0.000,0.000,0.000
Frederik Rönnow,0,45,0,0,0,6.63,0.000,0.059,0.000,0.000,0.000
Jannik Vestergaard,2,196,0,0,0,7.06,0.222,0.256,0.000,0.000,0.000
Jens Jonsson,0,47,0,0,0,6.2,0.000,0.061,0.000,0.000,0.000
Jens Stryger Larsen,2,185,1,0,0.15,6.47,0.222,0.242,0.050,0.000,0.032
Joachim Andersen,1,128,0,0,0,6.94,0.111,0.167,0.000,0.000,0.000
Joakim Maehle,3,340,1,0,0.75,6.785,0.333,0.444,0.050,0.000,0.032
Jonas Wind,3,231,2,1,0.75,7.105,0.333,0.302,0.100,0.091,0.097
Kasper Dolberg,5,378,2,0,1.5,7.08,0.556,0.493,0.100,0.000,0.065
Kasper Schmeichel,9,766,0,0,0,6.65,1.000,1.000,0.000,0.000,0.000
Lasse Schöne,1,77,0,0,1,7.51,0.111,0.101,0.000,0.000,0.000
Lucas Andersen,0,28,0,0,0,6.07,0.000,0.037,0.000,0.000,0.000
Marcus Ingvartsen,0,12,1,0,1,6.87,0.000,0.016,0.050,0.000,0.032
Martin Braithwaite,8,649,1,1,1.9,7.15,0.889,0.847,0.050,0.091,0.065
Mathias Jensen,2,168,1,0,0.5,7.34,0.222,0.219,0.050,0.000,0.032
Mikkel Damsgaard,1,90,2,2,6,10,0.111,0.117,0.100,0.182,0.129
Nicolai Boilesen,1,90,0,1,0,8.42,0.111,0.117,0.000,0.091,0.032
Pierre-Emile Højbjerg,6,555,1,2,0.7,7.44,0.667,0.725,0.050,0.182,0.097
Pione Sisto,0,66,0,0,0.3,6.15,0.000,0.086,0.000,0.000,0.000
Rasmus Falk,0,14,0,0,0,6.01,0.000,0.018,0.000,0.000,0.000
Robert Skov,4,350,2,0,1.75,7.145,0.444,0.457,0.100,0.000,0.065
Simon Kjaer,7,649,0,0,0.75,7.06,0.778,0.847,0.000,0.000,0.000
Thomas Delaney,8,685,0,2,0.75,7.2,0.889,0.894,0.000,0.182,0.065
Yussuf Poulsen,8,634,0,0,0.85,6.58,0.889,0.828,0.000,0.000,0.000
Zanka,1,145,0,0,0,6.38,0.111,0.189,0.000,0.000,0.000
Amin Younes,0,39,0,0,0.3,6.17,0.000,0.053,0.000,0.000,0.000
Antonio Rüdiger,8,720,0,1,0.85,6.83,1.000,0.982,0.000,0.083,0.037
Benjamin Henrichs,0,14,0,0,0,6.24,0.000,0.019,0.000,0.000,0.000
Bernd Leno,1,90,0,0,0,6.96,0.125,0.123,0.000,0.000,0.000
Emre Can,4,386,0,0,0.75,6.83,0.500,0.527,0.000,0.000,0.000
Florian Neuhaus,0,49,0,0,0,5.985,0.000,0.067,0.000,0.000,0.000
Gian-Luca Waldschmidt,0,33,0,0,0,5.93,0.000,0.045,0.000,0.000,0.000
Ilkay Gündogan,7,614,3,0,1.1,7.265,0.875,0.838,0.200,0.000,0.111
Jamal Musiala,0,12,0,0,0,6.38,0.000,0.016,0.000,0.000,0.000
Jonathan Tah,0,73,0,0,0,6.24,0.000,0.100,0.000,0.000,0.000
Joshua Kimmich,5,450,0,0,1.75,7.04,0.625,0.614,0.000,0.000,0.000
Julian Brandt,0,59,0,0,1,6.15,0.000,0.080,0.000,0.000,0.000
Julian Draxler,3,273,0,0,2,6.9,0.375,0.372,0.000,0.000,0.000
Kai Havertz,4,290,2,2,1,7.275,0.500,0.396,0.133,0.167,0.148
Kevin Trapp,1,90,0,0,0,7.11,0.125,0.123,0.000,0.000,0.000
Leon Goretzka,7,582,2,2,2.5,7.055,0.875,0.794,0.133,0.167,0.148
Leroy Sané,7,515,1,1,1.15,7.035,0.875,0.703,0.067,0.083,0.074
Lukas Klostermann,4,360,0,0,0.25,6.84,0.500,0.491,0.000,0.000,0.000
Manuel Neuer,6,540,0,0,0,6.505,0.750,0.737,0.000,0.000,0.000
Marc-André ter Stegen,1,90,0,0,0,6.03,0.125,0.123,0.000,0.000,0.000
Marcel Halstenberg,1,123,0,0,0,6.33,0.125,0.168,0.000,0.000,0.000
Matthias Ginter,8,733,1,2,0.6,6.59,1.000,1.000,0.067,0.167,0.111
Niklas Süle,5,378,0,0,0.4,6.43,0.625,0.516,0.000,0.000,0.000
Philipp Max,2,180,0,0,0,6.66,0.250,0.246,0.000,0.000,0.000
Robin Gosens,4,281,0,1,0.15,6.38,0.500,0.383,0.000,0.083,0.037
Robin Koch,2,181,0,0,0.3,6.02,0.250,0.247,0.000,0.000,0.000
Serge Gnabry,7,626,2,2,2.75,7.265,0.875,0.854,0.133,0.167,0.148
Suat Serdar,0,16,0,0,0,5.96,0.000,0.022,0.000,0.000,0.000
Thilo Kehrer,2,180,0,0,0.5,6.64,0.250,0.246,0.000,0.000,0.000
Timo Werner,5,490,4,1,1.5,6.53,0.625,0.668,0.267,0.083,0.185
Toni Kroos,5,450,0,0,2,6.81,0.625,0.614,0.000,0.000,0.000
Adama Traoré,1,140,0,0,0.7,6.96,0.143,0.218,0.000,0.000,0.000
Ansu Fati,3,250,1,0,2,7.19,0.429,0.390,0.053,0.000,0.029
Bryan Gil,1,71,0,0,0,6.33,0.143,0.111,0.000,0.000,0.000
Dani Ceballos,0,45,0,0,0,6.33,0.000,0.070,0.000,0.000,0.000
Dani Olmo,6,501,2,1,2.5,7.01,0.857,0.782,0.105,0.063,0.086
Daniel Carvajal,1,90,0,0,0,6.79,0.143,0.140,0.000,0.000,0.000
David de Gea,4,360,0,0,0,6.92,0.571,0.562,0.000,0.000,0.000
Diego Llorente,1,46,0,0,0,6.04,0.143,0.072,0.000,0.000,0.000
Eric García,3,342,0,0,0.35,6.625,0.429,0.534,0.000,0.000,0.000
Fabián Ruiz,3,290,0,3,0.9,6.73,0.429,0.452,0.000,0.188,0.086
Ferran Torres,7,641,6,0,3.25,7.315,1.000,1.000,0.316,0.000,0.171
Gerard Moreno,1,139,2,0,1,6.73,0.143,0.217,0.105,0.000,0.057
Jesús Navas,4,316,0,0,0.8,6.92,0.571,0.493,0.000,0.000,0.000
Jordi Alba,2,180,0,3,0.5,7.63,0.286,0.281,0.000,0.188,0.086
José Gayà,4,360,1,2,0.35,6.74,0.571,0.562,0.053,0.125,0.086
Koke,3,270,0,2,1.25,7.195,0.429,0.421,0.000,0.125,0.057
Marco Asensio,0,17,0,0,0,6.14,0.000,0.027,0.000,0.000,0.000
Marcos Llorente,2,205,0,0,0.7,6.65,0.286,0.320,0.000,0.000,0.000
Mikel Merino,4,339,0,1,1.4,6.95,0.571,0.529,0.000,0.063,0.029
Mikel Oyarzabal,2,230,2,0,0.75,6.35,0.286,0.359,0.105,0.000,0.057
Pau Torres,6,540,0,0,0.2,6.89,0.857,0.842,0.000,0.000,0.000
Pedri,2,185,0,1,0.7,6.79,0.286,0.289,0.000,0.063,0.029
Pedro Porro,1,65,0,0,0,6.96,0.143,0.101,0.000,0.000,0.000
Rodri,4,349,1,0,0.65,6.885,0.571,0.544,0.053,0.000,0.029
Rodrigo,2,148,0,1,3.5,6.55,0.286,0.231,0.000,0.063,0.029
Sergi Roberto,2,180,0,0,0.5,6.82,0.286,0.281,0.000,0.000,0.000
Sergio Busquets,5,374,0,0,0.15,7.175,0.714,0.583,0.000,0.000,0.000
Sergio Canales,3,208,0,0,0.15,6.31,0.429,0.324,0.000,0.000,0.000
Sergio Ramos,7,514,2,0,1.6,6.785,1.000,0.802,0.105,0.000,0.057
Sergio Reguilón,3,270,0,2,1,7.47,0.429,0.421,0.000,0.125,0.057
Thiago,2,233,0,0,0.5,6.905,0.286,0.363,0.000,0.000,0.000
Unai Simón,5,450,0,0,0,6.12,0.714,0.702,0.000,0.000,0.000
Álvaro Morata,4,356,2,0,2.6,7.2,0.571,0.555,0.105,0.000,0.057
Íñigo Martínez,1,180,0,0,0.3,6.31,0.143,0.281,0.000,0.000,0.000
Óscar Rodríguez,0,31,0,0,2,6.5,0.000,0.048,0.000,0.000,0.000
André Silva,1,93,1,0,0.75,6.625,0.111,0.115,0.059,0.000,0.032
Anthony Lopes,5,450,0,0,0,6.405,0.556,0.556,0.000,0.000,0.000
Bernardo Silva,8,573,1,2,1.35,7.05,0.889,0.707,0.059,0.143,0.097
Bruno Fernandes,7,601,0,1,2.75,7.27,0.778,0.742,0.000,0.071,0.032
