name,price,points,position,team,team_pr,team_GF,team_GA,opponent,opponent_pr,opponent_GF,opponent_GA,Apps,Mins,Goals,Assists,SpG,Rating,Apps%,Mins%,Goals%,Assists%,GnA%,name_e
ז'ואאו פלהיניה,5,0,M,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,0,25,1,0,0.3,6.48,0.0,0.030864197530864196,0.058823529411764705,0.0,0.03225806451612903,João Palhinha
טארס סטפננקו,5,0,M,אוקראינה,0.398685614063681,0,0,הולנד,0.7444165802422154,0,0,2,159,0,0,0.5,7.04,0.2857142857142857,0.2523809523809524,0.0,0.0,0.0,Taras Stepanenko
יוליאן באומגרטלינגר,5,0,M,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,5,399,0,0,0.3,6.53,0.5555555555555556,0.5012562814070352,0.0,0.0,0.0,Julian Baumgartlinger
לאסלו קליינהייזלר,5,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,2,200,1,0,2.3,6.74,0.25,0.2777777777777778,0.058823529411764705,0.0,0.03571428571428571,László Kleinheisler
לוקאש הראסלין,5,0,M,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,2,203,0,0,1.0,6.16,0.2857142857142857,0.32222222222222224,0.0,0.0,0.0,Lukás Haraslín
מגומד אוזדויב,5,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,8,711,1,0,0.75,6.859999999999999,1.0,1.0,0.06666666666666667,0.0,0.038461538461538464,Magomed Ozdoev
מילאן באדלי,5,0,M,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,2,100,0,0,0.0,6.3,0.2222222222222222,0.12345679012345678,0.0,0.0,0.0,Milan Badelj
מנואל לוקאטלי,5,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,5,502,1,2,1.1,7.155,0.5555555555555556,0.6197530864197531,0.07692307692307693,0.2,0.13043478260869565,Manuel Locatelli
מרטן דה רון,5,0,M,הולנד,0.7444165802422154,0,0,אוקראינה,0.398685614063681,0,0,4,332,0,0,0.5,6.54,0.4444444444444444,0.40987654320987654,0.0,0.0,0.0,Marten de Roon
מריאן ראדסקי,5,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,1,90,0,0,1.0,7.54,0.1111111111111111,0.11873350923482849,0.0,0.0,0.0,Marjan Radeski
מתאוש קליש,5,0,M,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,4,336,0,1,0.2,6.39,0.5,0.44680851063829785,0.0,0.07692307692307693,0.038461538461538464,Mateusz Klich
מתיאס סוואנברג,5,0,M,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,0,29,0,0,0.5,6.109999999999999,0.0,0.04154727793696275,0.0,0.0,0.0,Mattias Svanberg
נאסר צ'אדלי,5,0,M,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,2,146,0,0,0.0,6.085,0.2222222222222222,0.18024691358024691,0.0,0.0,0.0,Nacer Chadli
סבסטיאן לארסון,5,0,M,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,5,436,1,1,0.85,6.85,0.625,0.6246418338108882,0.1111111111111111,0.16666666666666666,0.13333333333333333,Sebastian Larsson
סטיבן צובר,5,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,4,304,1,0,0.95,6.7,0.5714285714285714,0.48253968253968255,0.1,0.0,0.05555555555555555,Steven Zuber
סטפנו סנסי,5,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,2,203,2,0,1.75,7.45,0.2222222222222222,0.2506172839506173,0.15384615384615385,0.0,0.08695652173913043,Stefano Sensi
